# Every project in the Dot family, and where it is cloned from.
#
# THIS IS THE ONLY COPY OF THIS LIST. bootstrap.sh and bootstrap.ps1 both read
# it, and `bootstrap --check` fails if a repository on disk is missing from it
# or a line here names something that is not there. Two copies of one list is
# the bug the list was guarding against, and this family has shipped that bug
# three times already: setup.sh against tools/check.sh against
# tools/package_check.sh, and bootstrap's own manifest, which had drifted to 19
# of 33 projects and had silently lost two of the five games.
#
# The addons each project needs are NOT here on purpose. They are derived from
# the /addons/<name> lines in that project's own .gitignore, which is the one
# place that can be right: the repository that gains a dependency is the
# repository that has to ignore its link, so the list maintains itself.
#
# This repository is not listed. It is the thing doing the cloning.
#
# Columns: name <TAB> clone URL, or the word LOCAL for a project with no remote
# yet -- a LOCAL project cannot be cloned onto another machine at all.
#
# TWO OWNERS, and the split is a rule rather than a set of accidents: the addons
# are the organisation's (`modcommunity/dot-*`) and the games are their author's
# (`gamemann/`). That is why the URL is written out per line here instead of being
# derived from the name -- the name says what a project IS, not who owns it, and a
# derivation would have to encode the split in two places. setup.sh's repo_url()
# encodes the same rule for the one case that cannot read this file: a fresh box
# cloning the sources it needs before dot-bootstrap is on it.
#
# A project named game-* has a playable client: `bootstrap --play <name>`.
dot-2d	git@github.com:modcommunity/dot-2d.git
dot-achievements	git@github.com:modcommunity/dot-achievements.git
dot-audio	git@github.com:modcommunity/dot-audio.git
dot-auth	git@github.com:modcommunity/dot-auth.git
dot-browser	git@github.com:modcommunity/dot-browser.git
dot-chat	git@github.com:modcommunity/dot-chat.git
dot-ci	git@github.com:modcommunity/dot-ci.git
dot-cloud	git@github.com:modcommunity/dot-cloud.git
dot-combat	git@github.com:modcommunity/dot-combat.git
dot-console	git@github.com:modcommunity/dot-console.git
dot-core	git@github.com:modcommunity/dot-core.git
dot-economy	git@github.com:modcommunity/dot-economy.git
dot-effects	git@github.com:modcommunity/dot-effects.git
dot-entity	git@github.com:modcommunity/dot-entity.git
dot-fx	git@github.com:modcommunity/dot-fx.git
dot-game	git@github.com:modcommunity/dot-game.git
dot-inventory	git@github.com:modcommunity/dot-inventory.git
dot-leaderboard	git@github.com:modcommunity/dot-leaderboard.git
dot-lighting	git@github.com:modcommunity/dot-lighting.git
dot-loadout	git@github.com:modcommunity/dot-loadout.git
dot-log	git@github.com:modcommunity/dot-log
dot-map	git@github.com:modcommunity/dot-map.git
dot-match	git@github.com:modcommunity/dot-match.git
dot-moderation	git@github.com:modcommunity/dot-moderation
dot-net	git@github.com:modcommunity/dot-net.git
dot-npc	git@github.com:modcommunity/dot-npc.git
dot-npc-ai	git@github.com:modcommunity/dot-npc-ai.git
dot-npc-ai-director	git@github.com:modcommunity/dot-npc-ai-director.git
dot-objective	git@github.com:modcommunity/dot-objective.git
dot-peer-to-peer	git@github.com:modcommunity/dot-peer-to-peer.git
dot-physics	git@github.com:modcommunity/dot-physics.git
dot-platform	git@github.com:modcommunity/dot-platform.git
dot-player	git@github.com:modcommunity/dot-player.git
dot-player-char	git@github.com:modcommunity/dot-player-char.git
dot-player-class	git@github.com:modcommunity/dot-player-class.git
dot-player-controller	git@github.com:modcommunity/dot-player-controller.git
dot-procedural-generation	git@github.com:modcommunity/dot-procedural-generation.git
dot-props	git@github.com:modcommunity/dot-props.git
dot-serve	git@github.com:modcommunity/dot-serve.git
dot-server	git@github.com:modcommunity/dot-server.git
dot-server-deploy	git@github.com:modcommunity/dot-server-deploy.git
dot-server-query	git@github.com:modcommunity/dot-server-query.git
dot-server-security	git@github.com:modcommunity/dot-server-security.git
dot-settings	git@github.com:modcommunity/dot-settings.git
dot-spawn	git@github.com:modcommunity/dot-spawn.git
dot-spectate	git@github.com:modcommunity/dot-spectate.git
dot-stats	git@github.com:modcommunity/dot-stats
dot-team	git@github.com:modcommunity/dot-team.git
dot-timer	git@github.com:modcommunity/dot-timer.git
dot-ui	git@github.com:modcommunity/dot-ui.git
dot-user	git@github.com:modcommunity/dot-user.git
dot-user-avatar	git@github.com:modcommunity/dot-user-avatar.git
dot-vehicle	git@github.com:modcommunity/dot-vehicle.git
dot-voice	git@github.com:modcommunity/dot-voice.git
dot-vote	git@github.com:modcommunity/dot-vote.git
dot-weapon	git@github.com:modcommunity/dot-weapon.git
game-arena	git@github.com:gamemann/game-arena.git
game-g2gfast	git@github.com:gamemann/game-g2gfast.git
game-hungario	git@github.com:gamemann/game-hungario.git
game-playground	git@github.com:gamemann/game-playground.git
game-simple-lobby	git@github.com:gamemann/game-simple-lobby.git
mg-buses-from-hell	git@github.com:gamemann/mg-buses-from-hell.git
mg-smash-copter	git@github.com:gamemann/mg-smash-copter.git
zee-dot-weapons	git@github.com:gamemann/zee-dot-weapons.git
